,Date,Consumption
164,2020-09-12,163.1721160351902
165,2020-09-13,150.79058085596526
166,2020-09-14,162.16600171815753
167,2020-09-15,174.34717712709528
168,2020-09-16,174.34717712709528
169,2020-09-17,181.54490810492368
170,2020-09-18,175.33771591437346
171,2020-09-19,175.33771591437346
172,2020-09-20,150.79058085596526
173,2020-09-21,150.79058085596526
174,2020-09-22,162.70318372432718
175,2020-09-23,162.70318372432718
176,2020-09-24,163.1721160351902
177,2020-09-25,162.16600171815753
178,2020-09-26,162.70318372432718
179,2020-09-27,163.1721160351902
180,2020-09-28,174.34717712709528
181,2020-09-29,169.07407757199238
182,2020-09-30,189.48859535981362
183,2020-10-01,198.18071711564647
184,2020-10-02,198.18071711564647
185,2020-10-03,199.32230905551745
186,2020-10-04,198.18071711564647
187,2020-10-05,221.93303982109452
188,2020-10-06,220.38209945755165
189,2020-10-07,200.46987516138068
190,2020-10-08,200.61871146556112
191,2020-10-09,200.46987516138068
192,2020-10-10,198.18071711564647
193,2020-10-11,198.18071711564647
194,2020-10-12,189.48859535981362
195,2020-10-13,193.39756833456428
196,2020-10-14,196.68632633764202
197,2020-10-15,198.18071711564647
198,2020-10-16,196.68632633764202
199,2020-10-17,198.18071711564647
200,2020-10-18,198.18071711564647
201,2020-10-19,200.46987516138068
202,2020-10-20,199.32230905551745
203,2020-10-21,200.46987516138068
204,2020-10-22,198.18071711564647
205,2020-10-23,193.39756833456428
206,2020-10-24,196.68632633764202
207,2020-10-25,184.2154958047107
208,2020-10-26,196.76041089972423
209,2020-10-27,221.93303982109452
210,2020-10-28,234.72833176486205
211,2020-10-29,269.9198755848057
212,2020-10-30,267.47940717844875
213,2020-10-31,328.67154633752244
214,2020-11-01,255.84278659956325
215,2020-11-02,254.69522049370002
216,2020-11-03,289.1808589445653
217,2020-11-04,306.82306274224595
218,2020-11-05,290.7317993081081
219,2020-11-06,314.10582520103424
220,2020-11-07,314.10582520103424
221,2020-11-08,326.77755177824537
222,2020-11-09,326.16130476805495
223,2020-11-10,326.3418275939162
224,2020-11-11,326.3418275939162
225,2020-11-12,323.720836361698
226,2020-11-13,323.720836361698
227,2020-11-14,337.27132437043826
228,2020-11-15,320.5957502901232
229,2020-11-16,323.720836361698
230,2020-11-17,323.720836361698
231,2020-11-18,304.9799777072172
232,2020-11-19,324.4921993150221
233,2020-11-20,316.3154701025375
234,2020-11-21,323.720836361698
235,2020-11-22,326.3418275939162
236,2020-11-23,326.16130476805495
237,2020-11-24,320.5957502901232
238,2020-11-25,328.67154633752244
239,2020-11-26,324.0001334153078
240,2020-11-27,326.16130476805495
241,2020-11-28,323.720836361698
242,2020-11-29,326.3418275939162
243,2020-11-30,356.0800865555049
244,2020-12-01,375.483483879013
245,2020-12-02,374.69276462378923
246,2020-12-03,363.5209780016174
247,2020-12-04,360.5314017031202
248,2020-12-05,375.483483879013
249,2020-12-06,351.7036946006425
250,2020-12-07,367.771402063042
251,2020-12-08,363.97432589944844
252,2020-12-09,343.5647973660557
253,2020-12-10,375.483483879013
254,2020-12-11,393.75904741795927
255,2020-12-12,375.483483879013
256,2020-12-13,373.8977891177121
